"";"id";"Zona";"No.Pisos";"Estrato";"Precio";"Area_Construida";"No.Parqueaderos";"No.Ba√±os";"No.Habitaciones";"Tipo.Vivienda";"Barrio";"geometry";"id_barrio";"barrio";"comuna";"shape_leng";"shape_area"
"1";4369;"Zona Sur";3;5;320;86;1;2;3;"Apartamento";"La Hacienda";c(-76.531, 3.393);"1784";"La Hacienda";"17";3878,431;721667,823
"2";224;"Zona Norte";NA;3;155;110;1;3;4;"Casa";"Villa Del Prado";c(-76.48965, 3.46639);"0599";"Villa del Prado - El Guabito";"05";3913,389;786440,333
"3";270;"Zona Norte";NA;3;65;60;NA;1;3;"Apartamento";"Chiminangos";c(-76.4913, 3.47745);"0505";"Chiminangos I";"05";1423,315;100747,278
"4";820;"Zona Oriente";2;3;320;450;NA;4;7;"Casa";"Santafe";c(-76.50336, 3.44028);"0813";"Santa FÈ";"08";2343,696;305195,011
"5";1147;"Zona Oriente";NA;3;250;70;1;3;6;"Casa";"20 de julio";c(-76.51168, 3.43382);"1111";"20 de Julio";"11";1431,128;92318,708
"6";1169;"Zona Oriente";NA;3;320;120;1;2;3;"Casa";"20 de julio";c(-76.51237, 3.43369);"1111";"20 de Julio";"11";1431,128;92318,708
"7";2267;"Zona Sur";NA;4;255;162;1;3;4;"Casa";"Ciudad 2000";c(-76.51952, 3.39408);"1697";"Ciudad 2000";"16";4628,095;970360,01
"8";2698;"Zona Centro";1;3;150;108;NA;2;4;"Casa";"Belalcazar";c(-76.52158, 3.44198);"0908";"Belalc·zar";"09";2456,417;327603,636
"9";3059;"Zona Norte";2;5;780;500;1;5;6;"Casa";"La Flora";c(-76.52353, 3.48157);"0212";"La Flora";"02";4593,731;730184,239
"10";3801;"Zona Sur";3;4;380;183;1;3;3;"Apartamento";"Prados Del Limonar";c(-76.52862, 3.39056);"1794";"Prados del Limonar";"17";3212,099;566471,287
"11";3816;"Zona Norte";4;5;450;230;2;4;5;"Apartamento";"El Bosque";c(-76.52875, 3.48459);"0215";"El Bosque";"02";2820,261;380862,699
"12";4232;"Zona Sur";NA;5;350;115;1;3;3;"Casa";"La Hacienda";c(-76.53024, 3.39774);"1784";"La Hacienda";"17";3878,431;721667,823
"13";4311;"Zona Sur";NA;5;450;179;2;4;4;"Casa";"El Ingenio";c(-76.53087, 3.38708);"1780";"El Ingenio";"17";4668,206;1042127,275
"14";4436;"Zona Norte";1;5;950;450;2;5;4;"Casa";"Santa Monica";c(-76.53161, 3.46809);"0210";"Santa MÛnica";"02";5019,173;696494,141
"15";5612;"Zona Sur";4;4;185;61;1;2;2;"Apartamento";"Santa Anita";c(-76.53763, 3.40676);"1778";"Santa Anita - La Selva";"17";2960,087;473803,312
"16";5992;"Zona Sur";2;4;400;280;3;5;3;"Casa";"3 de julio";c(-76.54, 3.435);"1912";"3 de Julio";"19";2369,436;211125,707
"17";6055;"Zona Sur";3;4;190;64;1;2;3;"Apartamento";"Camino Real";c(-76.54024, 3.40839);"1923";"Camino Real - Los Fundadores";"19";1926,158;200485,138
"18";6442;"Zona Oeste";NA;4;395;280;1;4;4;"Casa";"Miraflores";c(-76.54285, 3.44006);"1911";"Miraflores";"19";2049,547;208969,593
"19";7251;"Zona Oeste";2;5;430;117;2;3;3;"Apartamento";"Santa Isabel";c(-76.5484, 3.42969);"1908";"Santa Isabel";"19";3517,78;518322,851
